 # Time(s) Time(min) u(m/s)
    173.0000      2.8833     14.4936
    174.0000      2.9000     14.5561
    175.0000      2.9167     14.6185
    176.0000      2.9333     14.6809
    177.0000      2.9500     14.7433
    178.0000      2.9667     14.8057
    179.0000      2.9833     14.8681
    180.0000      3.0000     14.9305
    181.0000      3.0167     14.9928
    182.0000      3.0333     15.0552
    183.0000      3.0500     15.1175
    184.0000      3.0667     15.1799
    185.0000      3.0833     15.2422
    186.0000      3.1000     15.3045
    187.0000      3.1167     15.3667
    188.0000      3.1333     15.4290
    189.0000      3.1500     15.4913
    190.0000      3.1667     15.5535
    191.0000      3.1833     15.6158
    192.0000      3.2000     15.6780
    193.0000      3.2167     15.7402
    194.0000      3.2333     15.8024
    195.0000      3.2500     15.8646
    196.0000      3.2667     15.9268
    197.0000      3.2833     15.9889
    198.0000      3.3000     16.0511
    199.0000      3.3167     16.1132
    200.0000      3.3333     16.1753
    201.0000      3.3500     16.2374
    202.0000      3.3667     16.2995
    203.0000      3.3833     16.3616
    204.0000      3.4000     16.4237
    205.0000      3.4167     16.4858
    206.0000      3.4333     16.5478
    207.0000      3.4500     16.6098
    208.0000      3.4667     16.6719
    209.0000      3.4833     16.7339
    210.0000      3.5000     16.7959
    211.0000      3.5167     16.8579
    212.0000      3.5333     16.9198
    213.0000      3.5500     16.9818
    214.0000      3.5667     17.0438
    215.0000      3.5833     17.1057
    216.0000      3.6000     17.1676
    217.0000      3.6167     17.2295
    218.0000      3.6333     17.2914
    219.0000      3.6500     17.3533
    220.0000      3.6667     17.4152
    221.0000      3.6833     17.4771
    222.0000      3.7000     17.5389
    223.0000      3.7167     17.6007
    224.0000      3.7333     17.6626
    225.0000      3.7500     17.7244
    226.0000      3.7667     17.7862
    227.0000      3.7833     17.8480
    228.0000      3.8000     17.9098
    229.0000      3.8167     17.9715
    230.0000      3.8333     18.0333
    231.0000      3.8500     18.0950
    232.0000      3.8667     18.1567
    233.0000      3.8833     18.2185
    234.0000      3.9000     18.2802
    235.0000      3.9167     18.3418
    236.0000      3.9333     18.4035
    237.0000      3.9500     18.4652
    238.0000      3.9667     18.5268
    239.0000      3.9833     18.5885
    240.0000      4.0000     18.6501
    241.0000      4.0167     18.7117
    242.0000      4.0333     18.7733
    243.0000      4.0500     18.8349
    244.0000      4.0667     18.8965
    245.0000      4.0833     18.9581
    246.0000      4.1000     19.0196
    247.0000      4.1167     19.0812
    248.0000      4.1333     19.1427
    249.0000      4.1500     19.2042
    250.0000      4.1667     19.2657
    251.0000      4.1833     19.3272
    252.0000      4.2000     19.3887
    253.0000      4.2167     19.4502
    254.0000      4.2333     19.5116
    255.0000      4.2500     19.5731
    256.0000      4.2667     19.6345
    257.0000      4.2833     19.6959
    258.0000      4.3000     19.7573
    259.0000      4.3167     19.8187
    260.0000      4.3333     19.8801
    261.0000      4.3500     19.9415
    262.0000      4.3667     20.0028
    263.0000      4.3833     20.0642
    264.0000      4.4000     20.1255
    265.0000      4.4167     20.1868
    266.0000      4.4333     20.2481
    267.0000      4.4500     20.3094
    268.0000      4.4667     20.3707
    269.0000      4.4833     20.4320
    270.0000      4.5000     20.4932
    271.0000      4.5167     20.5545
    272.0000      4.5333     20.6157
    273.0000      4.5500     20.6770
    274.0000      4.5667     20.7382
    275.0000      4.5833     20.7994
    276.0000      4.6000     20.8605
    277.0000      4.6167     20.9217
    278.0000      4.6333     20.9829
    279.0000      4.6500     21.0440
    280.0000      4.6667     21.1052
    281.0000      4.6833     21.1663
    282.0000      4.7000     21.2274
    283.0000      4.7167     21.2885
    284.0000      4.7333     21.3496
    285.0000      4.7500     21.4107
    286.0000      4.7667     21.4717
    287.0000      4.7833     21.5328
    288.0000      4.8000     21.5938
    289.0000      4.8167     21.6549
    290.0000      4.8333     21.7159
    291.0000      4.8500     21.7769
    292.0000      4.8667     21.8379
    293.0000      4.8833     21.8988
    294.0000      4.9000     21.9598
    295.0000      4.9167     22.0208
    296.0000      4.9333     22.0817
    297.0000      4.9500     22.1426
    298.0000      4.9667     22.2036
    299.0000      4.9833     22.2645
    300.0000      5.0000     22.3254
    301.0000      5.0167     22.3862
    302.0000      5.0333     22.4471
    303.0000      5.0500     22.5080
    304.0000      5.0667     22.5688
    305.0000      5.0833     22.6296
    306.0000      5.1000     22.6905
    307.0000      5.1167     22.7513
    308.0000      5.1333     22.8121
    309.0000      5.1500     22.8729
    310.0000      5.1667     22.9336
    311.0000      5.1833     22.9944
    312.0000      5.2000     23.0551
    313.0000      5.2167     23.1159
    314.0000      5.2333     23.1766
    315.0000      5.2500     23.2373
    316.0000      5.2667     23.2980
    317.0000      5.2833     23.3587
    318.0000      5.3000     23.4194
    319.0000      5.3167     23.4800
    320.0000      5.3333     23.5407
    321.0000      5.3500     23.6013
    322.0000      5.3667     23.6619
    323.0000      5.3833     23.7225
    324.0000      5.4000     23.7831
    325.0000      5.4167     23.8437
